Scrap,Steel,Energy,Power,P_on,P_off,TaptoTap,Delay,Temp,C,O,T_O2,T_NG,RCB_O2_Lc,RCB_O2_Bur,RCB_NG,PCC_NG,FB_NG,FB_O2,O2_Top_Lc,Alloy,Slag,F_Carbon,F_Lime,F_Dolo,Inj_Carbon
124.87,82.473,436.2515810022674,42.4948542992126,50.8,24.65,75.45,17.083333333333332,1604.199951,0.138,185.1,43.54253332605823,22.182442993464527,7.221978041298365,7.531761073320966,3.9550521140251966,17.44028987668692,0.7871010027524159,1.3240810325803596,27.46471317885854,15.556606404520268,3.8436821747723497,3.637554108617366,37.58805912237945,40.61935421289392,26.97549501048828
97.57999649,82.321,359.249766645206,42.19804999762188,42.05,9.75,51.8,1.7166666666666666,1603.5,0.15350000000000003,145.7,33.82519873422335,17.08170647829837,5.930559018962355,5.360508375748594,2.827231034608423,13.74420731040682,0.5102681332831234,0.8534156290618433,21.680715710450556,15.961905224669282,3.875074403858068,3.644270599239562,29.154164793916497,31.583678526742872,17.999659868077405
96.25000391,84.72299219,321.50485453717306,41.41041883783784,39.46666666666667,7.016666666666667,46.48333333333333,0.2333333333333333,1599.699951,0.169,156.3,31.1699524501886,15.414803009685818,4.6331557804249925,5.02186564711791,2.6134445122458083,12.34528740031272,0.45607110893046,0.7618478329382999,20.753083201510567,14.91920867437437,3.741605340013193,1.1803171419599976,28.327611407039942,30.68824569095994,19.90014701344556
96.75000153,81.39,321.9222953679813,41.461327574505496,37.91666666666666,7.316666666666666,45.23333333333333,0.45,1603.300049,0.096,269.7,31.074001056640867,15.373840545521562,4.6739131342916815,4.962140017201131,2.5759504730310847,12.338118478928616,0.4597716058483843,0.7682231355203342,20.66972476962772,15.321292542081336,3.931686939427448,1.2286521685710776,29.48765204570586,31.944956382848016,17.026047425973708
96.38,82.42399609,355.11063438419126,41.11224937339056,42.71666666666667,11.216666666666669,53.93333333333333,3.783333333333333,1579.599976,0.13,198.00000000000003,34.01910481188367,17.180530211781434,5.303728850062843,5.518436372623098,2.8594563619877023,13.780326650988512,0.5407471988052212,0.9055612508582996,22.29137835047182,15.092692165054189,3.833834987264568,2.426477840040866,30.330973000510827,32.75745084055169,22.435820728477857
96.5,82.48299219,321.73566216984733,41.44719843644252,38.41666666666666,7.3,45.71666666666667,0.5166666666666667,1603.699951,0.062,425.5,30.86413733798374,15.322083188844603,4.539282524299511,4.946468552694729,2.564892378208958,12.313548502949866,0.4436423076857828,0.7394804962882372,20.63890577682497,15.021278533954698,3.8432165417785615,1.212371148826045,29.09690757182508,31.52164986947717,16.803464122728982
96.22000391,82.558,314.0071865839773,41.60753415782434,37.38333333333333,10.1,47.48333333333333,1.9,1620.699951,0.047,581.5,30.960456357954403,15.344681617771748,4.621630453741612,5.208955207248238,2.701589319024201,12.18642029845684,0.4566720002907046,0.7632401584340706,20.366630538530487,15.613265825238011,3.900288282177378,3.633808958550352,29.070471668402817,31.49301097410305,14.853194118074564
96.69,82.64700391,344.2630854590165,41.02055476651982,41.61666666666667,8.066666666666666,49.68333333333333,1.1833333333333331,1580.0,0.101,149.9,34.14685254741015,16.251693291418675,5.023387834507648,5.350577662579904,2.797461058016955,12.958977087255432,0.4952551582459416,0.82858191779792,22.94430513252468,15.64485025262424,3.787191128438815,3.6298956502608446,31.459095635593982,33.879026069101215,25.185425986726493
96.88,86.31400391,312.5586568563113,42.690760821098905,37.91666666666666,10.0,47.91666666666666,2.0166666666666666,1593.699951,0.155,165.6,31.16317000894415,14.78389490922644,4.986540010920924,5.015947035100298,2.6206923992989863,11.706275705313878,0.456926804613576,0.7634147880418957,20.397268174881034,14.829575063331111,3.661051343759868,3.4756816554682293,27.805453243745838,30.12257434739132,19.165487928527728
96.46000391,86.88700391,295.6829580245564,43.4418143673086,35.483333333333334,9.666666666666666,45.15,1.85,1608.800049,0.132,202.7,28.802973118882857,13.42469798139458,4.306878418636912,4.723690063304888,2.453293098019542,10.549041211611044,0.4223636717639927,0.7047991672429161,19.067605481207345,14.881397007765692,3.717471951669233,5.754600544379618,29.92392283077401,39.1312837017814,14.510225272653209
77.03,80.56300391,265.3206250089539,41.91181676470588,30.6,7.433333333333334,38.03333333333333,1.1333333333333333,1607.900024,0.1145,230.75,26.335426635409327,12.16687422796472,4.226362194492804,4.264034622936393,2.2243263198103853,9.557805141677717,0.3847427664766181,0.6402502326951776,17.2047795976976,15.86336082288717,3.934808592218492,8.688851780924114,29.790348963168395,34.75540712369646,9.12639753132065
115.79,81.06599219,441.63346938491344,41.98216266058632,51.16666666666666,25.78333333333333,76.95,17.633333333333333,1579.5,0.097,258.8,45.05682163784788,22.63030765971804,6.808708893691763,7.8583219274849405,4.086268755258172,17.91561576889151,0.6284231355683602,1.0544364250752287,29.335354379260323,15.826611940959705,3.873387489837371,4.934251579410663,37.00688684557998,44.40826421469597,23.647400694325604
97.20000391,83.36400391,328.48890990845405,41.96804715708813,39.15,8.7,47.85,1.6,1599.25,0.07300000000000001,403.75,33.28937803894405,15.563734359505288,5.197115045814503,5.220228367027819,2.723739484072005,12.366945943635638,0.4730489317976427,0.7909044420560871,22.081130184045644,15.450313559681328,3.790604879549145,3.598675518559315,28.78940414847452,33.58763817322028,19.013002323055048
97.06999609,84.24399219,319.1535878233408,42.4714262817025,37.98333333333333,15.85,53.833333333333336,7.883333333333334,1619.0,0.049,548.7,21.937639337317357,15.7770545821518,5.4940691195655456,5.060080925872845,2.6542941661131647,12.649409071172842,0.4733513448657946,0.7916621502170053,10.59182715353224,15.288924070634074,3.751009321677304,8.427900691110398,28.48867839248585,33.94900841771231,5.056740414666239
96.90999609,83.39399219,345.4604016841228,42.73323417552533,40.45,14.533333333333331,54.98333333333333,4.7,1581.400024,0.144,179.89999999999998,30.209530037369944,17.1007349876099,5.779830001444616,5.851554400803893,3.058727149299218,13.5427505428314,0.4992572954792847,0.8324222426219837,17.74572340449073,15.468740206859737,3.789241787106727,8.39389003473009,28.779051547646024,31.17730584328319,15.468740206859737
97.43,83.132,339.663577924265,43.646580170030056,38.81666666666667,12.1,50.91666666666666,7.416666666666667,1590.0,0.064,392.4,32.18603443920512,15.388198263003416,5.236385916373959,5.472768837511428,2.784713034691815,12.133452364913632,0.4700328633979695,0.7862730236250781,20.690606673723718,15.541548380888225,3.8252417841505073,7.217437328585863,28.86974931434345,33.68137420006736,16.705360150122697
96.73,87.912,324.38209357084355,41.37907416203144,41.35,7.733333333333333,49.083333333333336,1.0,1582.599976,0.166,155.70000000000002,31.038491457366455,10.987394405769404,4.576187073437073,5.012758849758849,2.649840021840021,7.8909468900718895,0.4466074824824825,0.7469436026936026,20.70260193147693,14.719264719264718,3.617253617253617,5.687505687505687,27.3000273000273,29.57502957502957,21.28264628264628
96.45999609,87.81299219,312.9738780627696,42.11980491954023,39.15,14.666666666666666,53.81666666666667,5.25,1612.199951,0.129,199.7,30.38238599394662,15.19038055455197,4.594473174619196,5.250483356749855,2.7387851159841,12.009448086203518,0.4421473637521882,0.7392752983469426,19.798154152842788,14.599206427519867,3.609944179035724,3.416350958077972,27.330807664623777,29.60837497000909,19.242596771374178
96.31,83.69600391,329.2639978323667,42.32469755119453,39.06666666666667,8.3,47.36666666666667,0.5,1548.099976,0.104,239.4,32.533663434254635,14.337521684910753,5.305824331559775,5.14021134703897,2.686378817342033,11.179786934704564,0.4713559209161531,0.7877156246419412,21.29991213101395,15.329286227089597,3.7516725450554422,3.584400520753608,28.675204166028863,31.06480451319793,17.163304493541858
94.48999609,85.769,310.55981671699567,42.24275670132159,37.833333333333336,15.483333333333333,53.31666666666667,6.95,1591.400024,0.045,578.9,29.815635847450707,14.77392013431426,4.541424920425794,4.668409332043046,2.42916616726323,11.908982371253016,0.4357715957980156,0.7280419265702059,19.877759668411663,14.725600158565449,3.7426109666662777,3.497767258566615,27.98213806853292,30.313982907577326,17.106996700439552
94.13,89.293,322.9338733159374,41.17756591035303,42.016666666666666,9.283333333333331,51.3,1.8333333333333333,1585.599976,0.108,239.3,30.719996270704307,14.022073846774102,4.818865644563403,4.9106926522795735,2.569865084609096,11.028678776611828,0.423529996752265,0.7076311468984131,20.282806838162006,14.368427536313035,3.550110310998622,3.359725846370936,26.87780677096749,29.117624001881445,19.623598714344908
94.99999609,84.23699219000001,312.81392064148434,42.10466650865513,37.55,10.5,48.05,2.716666666666667,1618.800049,0.1,270.3,30.343508659885824,14.107158780309248,4.679790086887715,4.857262081213919,2.5268754078955435,11.14407268819174,0.4362106723506932,0.7282517502718064,20.078204741512383,15.207095679658783,3.7157072191516,3.561380721231566,28.491045769852526,30.8652995840069,19.70333884021364
94.5,83.36799219000001,304.3552583367067,42.21097619223659,36.06666666666667,11.283333333333331,47.35,2.1166666666666667,1602.5,0.089,298.6,29.32665515594924,13.311790614685307,4.094327475490567,4.669963552831006,2.417861396261125,10.451704834322696,0.442224384101483,0.7387060715057866,19.823658044126876,15.32962431297819,3.862393606243331,3.598503359854035,28.78802687883228,31.187029118734973,17.056905925708126
94.71000391,85.41998437999999,340.48978562924907,42.82399828711657,40.75,10.366666666666667,51.11666666666667,2.15,1608.400024,0.111,226.6,33.11199150326981,13.29154884820877,5.720727035328452,4.9677883586613705,2.625475649846988,10.190525007913848,0.4755481904479365,0.7956180921043621,21.627858017175637,16.167176920291546,3.746195955462197,3.5120587082458097,28.09646966596648,30.43784213813035,20.06263537085419
94.34999609,86.013,311.77169020961946,42.45343280738786,37.9,9.966666666666669,47.86666666666667,1.8166666666666669,1590.099976,0.114,221.2,29.66967736272424,12.689654563844998,4.735492704591167,4.711068140862428,2.4610056851871227,9.8014117400858,0.4272371385720763,0.7139330566309744,19.50918344901352,14.893097555020752,3.685489402764698,2.9065373838838315,27.90275888528478,30.227988792391844,17.843232999662842
94.21999609,80.92099219,329.6005703609749,43.03800029045272,37.18333333333333,12.3,49.48333333333333,2.1333333333333333,1635.800049,0.116,214.1,32.998699234065825,13.35639208998186,5.332876294778412,5.107188528158852,2.677048737753496,10.195520268249444,0.4838230716211883,0.8075312503159756,21.75110317317032,15.8178979935713,4.189271421734899,3.089433201869394,29.658558737946187,32.1301052994417,20.39025913233801
94.36000391,81.83199219000001,313.50889295757713,43.0373747474371,35.766666666666666,11.133333333333333,46.9,2.95,1618.5,0.046,588.1999999999999,30.491964221114483,12.622283966908272,4.684675806375477,4.83346150343795,2.513947180002046,9.651893567079975,0.4564432198262482,0.7618687548904459,20.21195815641061,15.66624452968728,3.886010733572976,2.444031907907532,29.32838289489039,31.77241480279792,17.600084776819116
96.76999908,80.00300391,332.2499380136088,42.81502242684564,37.25,13.183333333333334,50.43333333333333,4.55,1570.5,0.069,370.6,32.63463209377883,14.32274124717925,5.176082806413712,5.12072752244235,2.666664894733201,11.15282829884431,0.5032480536017413,0.8414632540014583,21.496358510921315,16.11189501646801,3.9623512181694025,4.374835729840035,29.998873576045952,32.498779707383115,17.605588929941966
96.45000391,80.26999219000001,338.1944817652784,42.863476436842106,38.0,9.566666666666666,47.56666666666667,1.9666666666666663,1620.099976,0.155,158.20000000000002,32.98894419638288,13.705689797451564,5.467262485353432,5.113460233413782,2.681803537372438,10.53324253475301,0.490643725326118,0.8189995689097623,21.58922192116386,15.559986564388874,3.986545797121249,6.228977808001951,29.89909347840937,32.39068460161015,20.7424961006465
96.58999609,80.129,336.74510813812725,42.05150457662337,38.5,10.283333333333331,48.78333333333333,3.1333333333333333,1579.800049,0.15,169.10000000000002,33.38862023736725,12.963089979907398,5.343482097617591,5.254258295997704,2.745803179872456,9.71205841830049,0.5052283692545769,0.8451645596475682,21.94571528410438,16.111520173719875,4.00604026008062,4.99195047985124,29.95170287910744,32.44767811903306,21.17210997266907
96.46,80.473,319.7760343220708,41.5612438384926,37.15,15.833333333333334,52.98333333333333,9.133333333333333,1584.699951,0.104,248.6,32.15816255141476,13.605849253786984,4.576279273793695,5.694892833621214,2.9573364109701394,10.095615162849652,0.5528976923937221,0.9260268288742808,20.960963627552097,15.893529506791095,3.939209424278951,3.106632038074882,29.82366756551887,32.30897319597877,20.73676885414984
96.38999924,80.79899219,335.5134420024998,41.14373217875211,39.53333333333333,8.166666666666666,47.7,1.8833333333333333,1580.5,0.138,186.5,33.62271142703965,12.084870510561252,5.637937932799852,5.145542187238511,2.69681262221199,8.876281257487797,0.5117766308614646,0.8562519670704818,21.9829793399308,16.076933199183756,3.9728218298213895,3.094097998303263,29.70334078371133,32.178619182353934,22.342481645747863
96.72000391,80.48000391,336.4525070138009,41.58690984982935,39.06666666666667,14.616666666666667,53.68333333333333,8.7,1598.0,0.17,151.1,33.39869932170832,15.147549425609862,5.684926264561859,5.132160921138802,2.687978522490109,11.959997542698927,0.4995733604208271,0.8344305757626299,21.74718156024504,15.879720898487715,3.727634013729511,3.106361678107925,29.821072109836088,32.30616145232243,21.02696219911255
96.54,80.45100391,337.4569872412174,41.642740622070725,39.11666666666667,13.633333333333333,52.75,4.75,1634.800049,0.042,656.1999999999999,33.34779813315073,13.545776721681683,5.80673492306704,5.164171145269678,2.706956202108131,10.335510516813388,0.5033100027601632,0.8414798536974529,21.53541221111656,15.400677925486937,3.965146293971212,3.1074814216075333,29.83182164743232,32.31780678471834,18.94631422754113
96.59,80.02699219,334.26238445261254,41.27734574710673,38.88333333333333,7.45,46.333333333333336,1.6,1587.0,0.124,201.4,33.320993805052815,7.883509897537235,5.282499209720704,5.341593733588002,2.7871865466395955,4.600907355431122,0.4954159954665166,0.8284217885210512,21.868479073223057,16.182040141224004,4.660927392028227,4.998313557134828,29.989881342808967,32.48903812137638,20.84296753325223
96.28,79.62999219000001,344.6758404108792,41.3420603046025,39.833333333333336,10.416666666666666,50.25,2.4166666666666665,1611.800049,0.155,165.9,34.003138899466464,12.916132862928514,5.576586280963692,5.597253004075673,2.924428454599852,9.51660586870139,0.4750985270691887,0.7931686197996598,22.03613098206936,15.52178979310785,4.01858635420268,5.023232942753349,30.1393976565201,32.65101412789677,20.921765206567706
96.40000391,81.05599609,325.389733298878,41.64440360526315,38.0,10.533333333333331,48.53333333333333,2.933333333333333,1587.900024,0.087,299.0,33.17781027592329,11.884509653430133,5.41892193283637,5.385884438644989,2.820462186981928,8.567146324732805,0.4969011417154,0.8302124117416421,21.54279150503744,15.8655751830142,4.243979675705198,3.7011450660219753,29.609160528175803,34.5440206162051,21.044093987889948
96.51,80.683,379.3197673611541,43.00420157845433,42.7,35.06666666666667,77.76666666666667,28.766666666666666,1592.599976,0.078,325.70000000000005,38.34787717363013,18.220697829778267,7.072694495742597,6.485338819825737,3.4536720002974604,13.931577953224346,0.8354478762564604,1.406573726807382,23.3832701436486,16.013286565943258,3.928956533594437,7.436510789137736,29.746043156550943,34.7037170159761,19.901961999429865
96.4,81.771,349.2088018979834,41.48448369007264,41.3,9.916666666666666,51.21666666666667,2.933333333333333,1596.900024,0.144,178.5,34.69768066918589,13.365550439642416,5.5998160350246415,5.782016485061941,3.010815607000037,9.841971383497816,0.5127634491445623,0.857941837570777,22.45790631152854,15.751305475046165,4.145724034193052,3.668782331144293,29.350258649154345,34.2419684240134,24.07026941091585
96.29,82.46300391,321.82916570641333,42.1439784296427,37.78333333333333,9.4,47.18333333333333,2.0,1580.900024,0.069,371.9,31.547826754398912,12.543893866987316,4.686051934534724,4.880282986528425,2.5380129036824948,9.55731468211076,0.4485662933207111,0.7491292467034263,21.232362586632338,15.728265264451728,3.844148102414185,2.4253300330688865,29.10396039682664,33.95462046296441,19.7391548066394
96.65,81.392,345.77364446137216,44.32001333858268,38.1,11.15,49.25,3.0,1607.300049,0.124,200.7,33.460436431098884,13.10965301258109,5.991420741596226,5.269535028012581,2.7826476803617064,9.834656993316298,0.4923483266168665,0.8231522631216828,21.37632841065461,15.824651071358366,4.029880086494988,3.6858659327698056,29.486927462158445,34.40141537251819,21.482455278160018
96.5,81.34,313.1751803540693,45.46614229647992,33.61666666666667,8.583333333333334,42.2,1.65,1611.199951,0.069,388.4,28.44314631177772,11.287687189574624,4.2391165232358,4.456318096877305,2.3127608187853457,8.556032616179001,0.4188937669043521,0.6987534915170888,19.0489582124416,15.797885419227931,3.934103761986722,1.2294074256208507,29.505778214900417,34.42340791738382,17.202483402999754
96.54,79.958,323.7139035493634,44.71240819577735,34.733333333333334,8.883333333333333,43.61666666666667,1.75,1588.300049,0.15,173.79999999999998,29.6462862502814,10.208685935115936,4.413905012631632,4.720041846969659,2.450498774356537,7.323915705745516,0.4342714425073163,0.7241696890867706,19.788169701593336,16.221016033417545,4.902573851271918,1.250656594712224,30.015758273093372,35.01838465194227,17.127742064583906
96.44000122,81.944,328.13400200136675,44.28133832387924,36.43333333333333,7.85,44.28333333333333,1.0333333333333334,1600.099976,0.11,238.00000000000003,30.92548519720785,11.515747901005565,5.071754539685639,4.665961693351557,2.440802840964561,8.623162086302841,0.4517829859416186,0.7547071048520941,20.43306185931856,15.803475544274136,4.2223957824856,1.2203456018744507,29.288294444986818,34.16967685248462,15.309235575514986
96.34000391,82.07499219,355.88465281095506,44.23779064366849,39.61666666666667,8.016666666666667,47.63333333333333,1.6166666666666667,1597.0,0.054,488.5,34.03896881930364,10.58694169581498,6.468038714777732,4.8506297884059535,2.5745475370967563,7.530883799161772,0.4815103595564533,0.8048131256240086,21.91548719049595,15.510205557535247,3.959793249174356,1.2183979228228787,29.24155014774909,36.551937684686365,20.01523187717284
96.32000391,81.921,314.5941969702518,42.36471979726027,36.5,8.983333333333333,45.48333333333333,1.9333333333333331,1585.099976,0.165,157.4,29.649152549407354,10.245311324324652,4.291884181101304,4.666333675126036,2.422610429560186,7.368436664591496,0.4542642179660893,0.7589459479254403,19.93198874525457,15.502740445062924,4.016064257028112,3.662064672062108,29.296517376496865,31.737893824538272,18.371357771511576
94.03999609,82.05700391,327.7245864289075,41.801188088082895,38.6,7.566666666666666,46.16666666666666,1.7,1593.599976,0.134,195.4,31.345646446232767,10.58056688192334,4.71824693264017,4.838028517777989,2.52747658478334,7.600506663441497,0.4525836336985021,0.7560867938591544,21.033284201955453,15.720778709089476,4.667487012078503,6.093325081042432,29.24796038900368,31.68529042142065,16.436744406111963
80.32000391,84.03099219,575.8815404747633,32.60543328242561,89.05,271.3666666666667,360.4166666666667,261.5833333333333,1615.699951,0.065,411.0,49.85715284102728,40.47027445910251,1.6067643792032675,9.841268518288572,4.985738203027637,33.9737759081195,1.5107603479553773,2.5258414362178434,35.88327849541722,12.816699790534749,4.034225839360519,20.23063105284036,23.800742415106303,27.37085377737225,33.261537525111066
94.25,81.67899219,420.4772628696167,40.181661570360745,51.28333333333333,34.8,86.08333333333333,26.55,1605.900024,0.141,189.0,38.44108860569917,22.756700960220307,8.112263805345075,6.429280429641403,3.456901884185699,18.59543268441496,0.7043663916196515,1.1720620741415149,22.72748229657117,13.075577591795454,4.419741114829737,3.672915053875128,29.38332043100102,31.831930466917772,22.28541208938734
96.43000558,81.45199219,356.86216749857005,43.258240648201735,40.31666666666667,23.316666666666663,63.63333333333333,14.483333333333333,1583.900024,0.062,420.0,35.34924497959047,17.01806980689394,6.5845053089548005,5.707341975327074,2.9816284963723243,13.444281073513666,0.5921602492851195,0.9924574811065772,22.06494020192485,13.455778926111494,3.9041402358608166,2.4554341106042874,29.465209327251447,31.92064343785573,16.251904519562128
